TEAM_LABEL,SEASON,TEAM_NAME,SHOT_GROUP,FGA,FGM,FG_PCT,POINTS_PER_ATTEMPT,TOTAL_FGA_TEAM,FGA_SHARE,FGA_SHARE_PCT
Bulls 1997-98,1997-98,Chicago Bulls,Mid-range,3128,1240,0.396,0.793,6801,0.45993236288781064,45.99
Bulls 1997-98,1997-98,Chicago Bulls,Rim,2711,1513,0.558,1.116,6801,0.39861785031613,39.86
Bulls 1997-98,1997-98,Chicago Bulls,Three,962,311,0.323,0.97,6801,0.1414497867960594,14.14
Celtics 2023-24,2023-24,Boston Celtics,Mid-range,1129,502,0.445,0.889,7396,0.1526500811249324,15.27
Celtics 2023-24,2023-24,Boston Celtics,Rim,2785,1748,0.628,1.255,7396,0.3765548945375879,37.66
Celtics 2023-24,2023-24,Boston Celtics,Three,3482,1351,0.388,1.164,7396,0.4707950243374797,47.08
Lakers 2000-01,2000-01,Los Angeles Lakers,Mid-range,2444,977,0.4,0.8,6685,0.3655946148092745,36.56
Lakers 2000-01,2000-01,Los Angeles Lakers,Rim,2966,1693,0.571,1.142,6685,0.443679880329095,44.37
Lakers 2000-01,2000-01,Los Angeles Lakers,Three,1275,439,0.344,1.033,6685,0.1907255048616305,19.07
Warriors 2015-16,2015-16,Golden State Warriors,Mid-range,1633,710,0.435,0.87,7159,0.2281044838664618,22.81
Warriors 2015-16,2015-16,Golden State Warriors,Rim,2934,1702,0.58,1.16,7159,0.4098337756669926,40.98
Warriors 2015-16,2015-16,Golden State Warriors,Three,2592,1077,0.416,1.247,7159,0.3620617404665456,36.21
