GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,TEAM_LABEL,SHOT_GROUP
Shot Chart Detail,0029700001,2,679,Jason Caffey,1610612741,Chicago Bulls,1,11,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12.0,119.0,16.0,1,0,19971031,BOS,CHI,1997-98,Bulls 1997-98,Mid-range
Shot Chart Detail,0029700001,5,679,Jason Caffey,1610612741,Chicago Bulls,1,11,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,10.0,10.0,1,1,19971031,BOS,CHI,1997-98,Bulls 1997-98,Rim
Shot Chart Detail,0029700001,13,679,Jason Caffey,1610612741,Chicago Bulls,1,10,38,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,10.0,-3.0,1,1,19971031,BOS,CHI,1997-98,Bulls 1997-98,Rim
Shot Chart Detail,0029700001,23,679,Jason Caffey,1610612741,Chicago Bulls,1,9,54,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-3.0,0.0,1,1,19971031,BOS,CHI,1997-98,Bulls 1997-98,Rim
Shot Chart Detail,0029700001,29,389,Toni Kukoc,1610612741,Chicago Bulls,1,9,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16.0,-164.0,29.0,1,1,19971031,BOS,CHI,1997-98,Bulls 1997-98,Mid-range
Shot Chart Detail,0029700001,32,26,Luc Longley,1610612741,Chicago Bulls,1,8,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,0.0,1,1,19971031,BOS,CHI,1997-98,Bulls 1997-98,Rim
Shot Chart Detail,0029700001,44,679,Jason Caffey,1610612741,Chicago Bulls,1,7,13,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,0.0,1,1,19971031,BOS,CHI,1997-98,Bulls 1997-98,Rim
Shot Chart Detail,0029700001,47,166,Ron Harper,1610612741,Chicago Bulls,1,6,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,-3.0,246.0,1,0,19971031,BOS,CHI,1997-98,Bulls 1997-98,Three
Shot Chart Detail,0029700001,54,893,Michael Jordan,1610612741,Chicago Bulls,1,6,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21.0,-85.0,199.0,1,0,19971031,BOS,CHI,1997-98,Bulls 1997-98,Mid-range
Shot Chart Detail,0029700001,62,679,Jason Caffey,1610612741,Chicago Bulls,1,5,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-16.0,5.0,1,0,19971031,BOS,CHI,1997-98,Bulls 1997-98,Rim
