GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,0022300010,7,201950,Jrue Holiday,1610612738,Boston Celtics,1,11,39,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,16,71,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,11,1627759,Jaylen Brown,1610612738,Boston Celtics,1,11,13,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,35,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,21,1628369,Jayson Tatum,1610612738,Boston Celtics,1,10,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,135,248,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,23,1627759,Jaylen Brown,1610612738,Boston Celtics,1,10,22,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-134,122,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,30,1627759,Jaylen Brown,1610612738,Boston Celtics,1,10,2,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-147,227,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,34,204001,Kristaps Porziņģis,1610612738,Boston Celtics,1,9,28,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-116,75,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,38,1627759,Jaylen Brown,1610612738,Boston Celtics,1,8,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-176,197,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,43,1627759,Jaylen Brown,1610612738,Boston Celtics,1,8,26,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,126,135,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,47,201950,Jrue Holiday,1610612738,Boston Celtics,1,7,53,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-178,195,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,51,1627759,Jaylen Brown,1610612738,Boston Celtics,1,7,34,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,36,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,55,1627759,Jaylen Brown,1610612738,Boston Celtics,1,7,13,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,110,255,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,59,204001,Kristaps Porziņģis,1610612738,Boston Celtics,1,6,33,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,75,122,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,62,201950,Jrue Holiday,1610612738,Boston Celtics,1,6,16,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,119,220,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,78,1630573,Sam Hauser,1610612738,Boston Celtics,1,5,44,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,229,84,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,90,1627759,Jaylen Brown,1610612738,Boston Celtics,1,5,7,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,81,150,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,94,1630573,Sam Hauser,1610612738,Boston Celtics,1,4,52,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-146,235,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,109,1628436,Luke Kornet,1610612738,Boston Celtics,1,4,11,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,14,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,113,1628401,Derrick White,1610612738,Boston Celtics,1,3,54,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,0,156,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,120,1630573,Sam Hauser,1610612738,Boston Celtics,1,3,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,224,98,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,123,1628401,Derrick White,1610612738,Boston Celtics,1,3,7,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,96,138,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,127,1630202,Payton Pritchard,1610612738,Boston Celtics,1,2,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-154,224,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,131,1628401,Derrick White,1610612738,Boston Celtics,1,2,6,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,2,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,135,1628401,Derrick White,1610612738,Boston Celtics,1,1,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,159,230,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,146,1628369,Jayson Tatum,1610612738,Boston Celtics,1,1,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,132,235,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,148,1628436,Luke Kornet,1610612738,Boston Celtics,1,1,17,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,152,201950,Jrue Holiday,1610612738,Boston Celtics,1,0,53,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,35,24,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,156,1630202,Payton Pritchard,1610612738,Boston Celtics,1,0,41,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,158,236,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,158,1630202,Payton Pritchard,1610612738,Boston Celtics,1,0,36,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,227,78,1,1,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,160,1630202,Payton Pritchard,1610612738,Boston Celtics,1,0,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,158,224,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,162,1628369,Jayson Tatum,1610612738,Boston Celtics,1,0,3,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,6,1,0,20231110,BOS,BKN,2023-24
Shot Chart Detail,0022300010,176,1629052,Oshae Brissett,1610612738,Boston Celtics,2,11,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,140,205,1,0,20231110,BOS,BKN,2023-24
